old_name,new_name
altersarmut-2020-wms,altersarmut-2020-wms-947b1e29
alters-und-bestandesstruktur-der-wälder-forstbetriebskarte-2005-umweltatlas-wfs,alters-und-bestandesstruktur-der-walder-forstbetriebskarte-2005-umweltatlas-wfs-f01d102b
alters-und-bestandesstruktur-der-wälder-forstbetriebskarte-2005-umweltatlas-wms,alters-und-bestandesstruktur-der-walder-forstbetriebskarte-2005-umweltatlas-wms-d094c598
alters-und-bestandesstruktur-der-wälder-forstbetriebskarte-2014-umweltatlas-wfs,alters-und-bestandesstruktur-der-walder-forstbetriebskarte-2014-umweltatlas-wfs-f15f6603
alters-und-bestandesstruktur-der-wälder-forstbetriebskarte-2014-umweltatlas-wms,alters-und-bestandesstruktur-der-walder-forstbetriebskarte-2014-umweltatlas-wms-9ff0258d
änderungen-isu-flächen-fortschreibung-2020-umweltatlas-wfs,anderungen-an-isu-flachen-fortschreibung-2020-umweltatlas-wfs-5266b7f5
änderungen-isu-flächen-fortschreibung-2021-umweltatlas-wfs,anderungen-an-isu-flachen-fortschreibung-2021-umweltatlas-wfs-8221b7e6
ansprechpartner-bau-und-wohnungsaufsicht-friedrichshain-kreuzberg,ansprechpartner-bau-und-wohnungsaufsicht-in-friedrichshain-kreuzberg
anteil-erneuerbarer-energieträger-am-bruttoendenergieverbrauch,anteil-erneuerbarer-energietrager-am-bruttoendenergieverbrauch
anteil-erneuerbarer-energieträger-am-primärenergieverbrauch,anteil-erneuerbarer-energietrager-am-primarenergieverbrauch
apothekenstandorte-wfs,apothekenstandorte-wfs-58e80465
apothekenstandorte-wms,apothekenstandorte-wms-831192fe
arbeitslosenanteil-2014-v2-wms,arbeitslosenanteil-2014-v2-wms-f37c2a1e
arbeitslosenanteil-2014-wms,arbeitslosenanteil-2014-wms-bf0e81c3
arbeitslosenanteil-2016-v2-wms,arbeitslosenanteil-2016-v2-wms-0e71e3ea
arbeitslosenanteil-2016-wms,arbeitslosenanteil-2016-wms-0d0b525d
arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2014-v-2-wms,arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2014-v-2-wms-878454ed
arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2014-wms,arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2014-wms-ab071ba8
arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2016-v-2-wms,arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2016-v-2-wms-f45aa6dd
arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2016-wms,arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2016-wms-1ca73e5b
arbeitslose-veränderung-2013-2014-v-2-wms,arbeitslose-veranderung-2013-2014-v-2-wms-277cfa50
arbeitslose-veränderung-2013-2014-wms,arbeitslose-veranderung-2013-2014-wms-093eee17
arbeitslose-veränderung-2015-2016-v-2-wms,arbeitslose-veranderung-2015-2016-v-2-wms-c2307871
arbeitslose-veränderung-2015-2016-wms,arbeitslose-veranderung-2015-2016-wms-401702a1
arbeitslosigkeit-2018-v2-wms,arbeitslosigkeit-2018-v2-wms-332c1f9f
arbeitslosigkeit-2018-wms,arbeitslosigkeit-2018-wms-f4432db3
arbeitslosigkeit-2020-v2-wms,arbeitslosigkeit-2020-v2-wms-998aa898
arbeitslosigkeit-2020-wms,arbeitslosigkeit-2020-wms-ef28b19e
archäologische-fundstellen-und-bodendenkmale-aisber-fundstellen-wfs,archaologische-fundstellen-und-bodendenkmale-aisber-fundstellen-wfs-459a407a
archäologische-fundstellen-und-bodendenkmale-aisber-wms,archaologische-fundstellen-und-bodendenkmale-aisber-wms-997c4d63
archivfunktion-der-böden-für-die-naturgeschichte-1990-umweltatlas-wms,archivfunktion-der-boden-fur-die-naturgeschichte-1990-umweltatlas-wms-dfdb8e02
archivfunktion-der-böden-für-die-naturgeschichte-2001-umweltatlas-wms,archivfunktion-der-boden-fur-die-naturgeschichte-2001-umweltatlas-wms-eed09eee
archivfunktion-der-böden-für-die-naturgeschichte-2005-umweltatlas-wms,archivfunktion-der-boden-fur-die-naturgeschichte-2005-umweltatlas-wms-70dbd429
archivfunktion-der-böden-für-die-naturgeschichte-2010-umweltatlas-wms,archivfunktion-der-boden-fur-die-naturgeschichte-2010-umweltatlas-wms-083dc290
archivfunktion-der-böden-für-die-naturgeschichte-2015-umweltatlas-wms,archivfunktion-der-boden-fur-die-naturgeschichte-2015-umweltatlas-wms-13ded453
archivfunktion-der-böden-für-die-naturgeschichte-2020-umweltatlas-wfs,archivfunktion-der-boden-fur-die-naturgeschichte-2020-umweltatlas-wfs-87c59b5a
archivfunktion-der-böden-für-die-naturgeschichte-2020-umweltatlas-wms,archivfunktion-der-boden-fur-die-naturgeschichte-2020-umweltatlas-wms-d984e10e
art-der-kanalisation-2001-umweltatlas-wms,art-der-kanalisation-2001-umweltatlas-wms-4f04e89e
art-der-kanalisation-2005-umweltatlas-wms,art-der-kanalisation-2005-umweltatlas-wms-010527cf
art-der-kanalisation-2012-umweltatlas-wfs,art-der-kanalisation-2012-umweltatlas-wfs-f0b01e62
art-der-kanalisation-2012-umweltatlas-wms,art-der-kanalisation-2012-umweltatlas-wms-1606ccfd
art-der-kanalisation-2017-umweltatlas-wfs,art-der-kanalisation-2017-umweltatlas-wfs-16d303f4
art-der-kanalisation-2017-umweltatlas-wms,art-der-kanalisation-2017-umweltatlas-wms-19261f4f
atkis-bahnstrecke-linien-wfs,atkis-bahnstrecke-linien-wfs-92d97b65
atkis-bahnverkehr-fläche-wfs,atkis-bahnverkehr-flache-wfs-355d2aa3
atkis-bahnverkehrsanlage-fläche-wfs,atkis-bahnverkehrsanlage-flache-wfs-9f5d6464
atkis-bahnverkehrsanlage-punkte-wfs,atkis-bahnverkehrsanlage-punkte-wfs-ead21a1a
atkis-basis-dlm-präsentationsdienst-wms,atkis-basis-dlm-prasentationsdienst-wms-079ac61e
atkis-bauwerk-im-gewässerbereich-fläche-wfs,atkis-bauwerk-im-gewasserbereich-flache-wfs-41325f27
atkis-bauwerk-im-gewässerbereich-linien-wfs,atkis-bauwerk-im-gewasserbereich-linien-wfs-cd3c9563
atkis-bauwerk-im-gewässerbereich-punkte-wfs,atkis-bauwerk-im-gewasserbereich-punkte-wfs-683dadf7
atkis-bauwerk-im-verkehrsbereich-fläche-wfs,atkis-bauwerk-im-verkehrsbereich-flache-wfs-f6343e8f
atkis-bauwerk-im-verkehrsbereich-linien-wfs,atkis-bauwerk-im-verkehrsbereich-linien-wfs-6befb452
atkis-bauwerk-im-verkehrsbereich-punkte-wfs,atkis-bauwerk-im-verkehrsbereich-punkte-wfs-20d0d0f1
atkis-bauwerk-oder-anlage-für-industrie-und-gewerbe-fläche-wfs,atkis-bauwerk-oder-anlage-fur-industrie-und-gewerbe-flache-wfs-a2498df4
atkis-bauwerk-oder-anlage-für-industrie-und-gewerbe-linien-wfs,atkis-bauwerk-oder-anlage-fur-industrie-und-gewerbe-linien-wfs-ae630854
atkis-bauwerk-oder-anlage-für-industrie-und-gewerbe-punkte-wfs,atkis-bauwerk-oder-anlage-fur-industrie-und-gewerbe-punkte-wfs-d3bc3396
atkis-bauwerk-oder-anlage-für-sport-freizeit-und-erholung-fläche-wfs,atkis-bauwerk-oder-anlage-fur-sport-freizeit-und-erholung-flache-wfs-b43199a8
atkis-bauwerk-oder-anlage-für-sport-freizeit-und-erholung-linien-wfs,atkis-bauwerk-oder-anlage-fur-sport-freizeit-und-erholung-linien-wfs-7e9c8524
atkis-denkmalschutzrecht-fläche-wfs,atkis-denkmalschutzrecht-flache-wfs-8c96ec7e
atkis-denkmalschutzrecht-linien-wfs,atkis-denkmalschutzrecht-linien-wfs-eca7b7cd
atkis-denkmalschutzrecht-punkte-wfs,atkis-denkmalschutzrecht-punkte-wfs-6f5dade3
atkis®-dgm-1m-rasterweite-atom,atkis-dgm-1m-rasterweite-atom-fa02f9e1
atkis®-dgm-digitales-geländemodell-wms,atkis-dgm-digitales-gelandemodell-wms-b0485f06
atkis-einrichtungen-für-den-schiffsverkehr-punkte-wfs,atkis-einrichtungen-fur-den-schiffsverkehr-punkte-wfs-5663514b
atkis-fahrbahnachse-linien-wfs,atkis-fahrbahnachse-linien-wfs-436ced8f
atkis-fahrwegachse-linien-wfs,atkis-fahrwegachse-linien-wfs-e6b11956
atkis-fläche-besonderer-funktionaler-prägung-geschlossen-fläche-wfs,atkis-flache-besonderer-funktionaler-pragung-geschlossen-flache-wfs-6baa3b3c
atkis-fläche-besonderer-funktionaler-prägung-offen-fläche-wfs,atkis-flache-besonderer-funktionaler-pragung-offen-flache-wfs-aca7d69b
atkis-fläche-gemischter-nutzung-geschlossen-fläche-wfs,atkis-flache-gemischter-nutzung-geschlossen-flache-wfs-1e62b3b5
atkis-fläche-gemischter-nutzung-offen-fläche-wfs,atkis-flache-gemischter-nutzung-offen-flache-wfs-c902fb54
atkis-fließgewässer-fläche-wfs,atkis-fliessgewasser-flache-wfs-90bbffab
atkis-flugverkehr-fläche-wfs,atkis-flugverkehr-flache-wfs-9d492c36
atkis-flugverkehrsanlage-fläche-wfs,atkis-flugverkehrsanlage-flache-wfs-1e3b86de
atkis-flugverkehrsanlage-punkte-wfs,atkis-flugverkehrsanlage-punkte-wfs-8b2f0f46
atkis-friedhof-fläche-wfs,atkis-friedhof-flache-wfs-dcc3c6ac
atkis-gebietsgrenze-linien-wfs,atkis-gebietsgrenze-linien-wfs-7274ed0c
atkis-gehölz-fläche-wfs,atkis-geholz-flache-wfs-8d11e3ab
atkis-gewässerachse-linien-wfs,atkis-gewasserachse-linien-wfs-fe2cc669
atkis-gewässerstationierungsachse-linien-wfs,atkis-gewasserstationierungsachse-linien-wfs-3e638b82
atkis-hafenbecken-fläche-wfs,atkis-hafenbecken-flache-wfs-122b7181
atkis-hafen-fläche-wfs,atkis-hafen-flache-wfs-ca15ea20
atkis-historisches-bauwerk-oder-historische-einrichtung-punkte-wfs,atkis-historisches-bauwerk-oder-historische-einrichtung-punkte-wfs-1f3d8f17
atkis-höhenlinie-linien-wfs,atkis-hohenlinie-linien-wfs-532aea54
atkis-industrie-und-gewerbefläche-fläche-wfs,atkis-industrie-und-gewerbeflache-flache-wfs-4c33a154
atkis-insel-fläche-wfs,atkis-insel-flache-wfs-88e9a523
atkis-kommunales-gebiet-fläche-wfs,atkis-kommunales-gebiet-flache-wfs-ba6fcf1d
atkis-landwirtschaft-fläche-wfs,atkis-landwirtschaft-flache-wfs-fabbfbbf
atkis-leitung-linien-wfs,atkis-leitung-linien-wfs-285e061d
atkis-moor-fläche-wfs,atkis-moor-flache-wfs-0d0a3e2a
atkis-natur-umwelt-oder-bodenschutzrecht-fläche-wfs,atkis-natur-umwelt-oder-bodenschutzrecht-flache-wfs-588ec8e5
atkis-natur-umwelt-oder-bodenschutzrecht-punkte-wfs,atkis-natur-umwelt-oder-bodenschutzrecht-punkte-wfs-8e0b5fad
atkis-ortslage-fläche-wfs,atkis-ortslage-flache-wfs-73989f55
atkis-platz-fläche-wfs,atkis-platz-flache-wfs-67e28b23
atkis-schifffahrtslinie-fährverkehr-linien-wfs,atkis-schifffahrtslinie-fahrverkehr-linien-wfs-ffdaaff6
atkis-schiffsverkehr-fläche-wfs,atkis-schiffsverkehr-flache-wfs-6927187f
atkis-schleuse-fläche-wfs,atkis-schleuse-flache-wfs-e46255f5
atkis-schutzzone-fläche-wfs,atkis-schutzzone-flache-wfs-68453abc
atkis-seilbahn-und-schwebebahn-linien-wfs,atkis-seilbahn-und-schwebebahn-linien-wfs-c8dc1e0b
atkis-sonstiges-bauwerk-oder-sonstige-einrichtung-linien-wfs,atkis-sonstiges-bauwerk-oder-sonstige-einrichtung-linien-wfs-0c6bcd35
atkis-sonstiges-bauwerk-oder-sonstige-einrichtung-punkte-wfs,atkis-sonstiges-bauwerk-oder-sonstige-einrichtung-punkte-wfs-7adb97bc
atkis-sport-freizeit-und-erholungsfläche-fläche-wfs,atkis-sport-freizeit-und-erholungsflache-flache-wfs-e3c3b12c
atkis-stehendes-gewässer-fläche-wfs,atkis-stehendes-gewasser-flache-wfs-05c98278
atkis-straßenachse-linien-wfs,atkis-strassenachse-linien-wfs-e650879e
atkis-straßenverkehr-fläche-wfs,atkis-strassenverkehr-flache-wfs-e90f5753
atkis-straßenverkehrsanlage-punkte-wfs,atkis-strassenverkehrsanlage-punkte-wfs-9095ed12
atkis-sumpf-fläche-wfs,atkis-sumpf-flache-wfs-c5deeb73
atkis-tagebau-grube-steinbruch-fläche-wfs,atkis-tagebau-grube-steinbruch-flache-wfs-91d31533
atkis-transportanlage-fläche-wfs,atkis-transportanlage-flache-wfs-20680107
atkis-transportanlage-linien-wfs,atkis-transportanlage-linien-wfs-3c0a0b1a
atkis-transportanlage-punkte-wfs,atkis-transportanlage-punkte-wfs-b970fbba
atkis-turm-fläche-wfs,atkis-turm-flache-wfs-09d4bb5e
atkis-turm-punkte-wfs,atkis-turm-punkte-wfs-9ab182c2
atkis-unland-vegetationslose-fläche-fläche-wfs,atkis-unland-vegetationslose-flache-flache-wfs-86438681
atkis-vegetationsmerkmal-fläche-wfs,atkis-vegetationsmerkmal-flache-wfs-4907b6ca
atkis-vegetationsmerkmal-linien-wfs,atkis-vegetationsmerkmal-linien-wfs-6c450fca
atkis-vegetationsmerkmal-punkte-wfs,atkis-vegetationsmerkmal-punkte-wfs-5e6776db
atkis-vorratsbehälter-speicherbauwerk-fläche-wfs,atkis-vorratsbehalter-speicherbauwerk-flache-wfs-06ef6713
atkis-vorratsbehälter-speicherbauwerk-punkte-wfs,atkis-vorratsbehalter-speicherbauwerk-punkte-wfs-15477d2b
atkis-wald-fläche-wfs,atkis-wald-flache-wfs-336dfb8e
